Data,Dobowa prognoza zapotrzebowania KSE,Rzeczywiste zapotrzebowanie KSE
2016-04-19,19500.0,18956.91
2016-04-20,19468.75,18840.47
2016-04-21,19339.58,18901.98
2016-04-22,19239.58,18835.1
2016-04-23,17212.5,17185.71
2016-04-24,15512.5,15294.67
2016-04-25,18958.33,18801.13
2016-04-26,19391.67,19196.96
2016-04-27,19512.5,19538.34
2016-04-28,19441.67,19265.0
2016-04-29,19145.83,19093.07
2016-04-30,16566.67,16697.56
2016-05-01,14660.42,14223.85
2016-05-02,15441.67,15741.59
2016-05-03,14237.5,14429.13
2016-05-04,18362.5,17937.56
2016-05-05,18995.83,18685.35
2016-05-06,19045.83,18538.99
2016-05-07,16995.83,16743.78
2016-05-08,15187.5,14841.43
2016-05-09,18404.17,17990.23
2016-05-10,18875.0,18542.93
2016-05-11,18720.04,18684.97
2016-05-12,18829.17,18716.93
2016-05-13,19006.25,18580.4
2016-05-14,17066.67,16716.23
2016-05-15,15235.42,14244.4
2016-05-16,18439.58,17866.97
2016-05-17,19008.33,18816.78
2016-05-18,18979.17,18983.42
2016-05-19,19070.83,18810.62
2016-05-20,18754.75,18615.09
2016-05-21,16879.17,16792.14
2016-05-22,14479.17,14831.9
2016-05-23,18485.42,18223.57
2016-05-24,19141.67,18778.95
2016-05-25,19100.0,18681.69
2016-05-26,14475.0,14531.97
2016-05-27,16397.92,16582.1
2016-05-28,16162.5,16056.16
2016-05-29,14981.25,14721.45
2016-05-30,18683.33,18244.7
2016-05-31,19266.67,18788.51
2016-06-01,19100.0,18835.48
2016-06-02,18820.71,18896.33
2016-06-03,19045.83,18717.18
2016-06-04,16975.0,16761.3
2016-06-05,14987.5,14753.23
2016-06-06,18491.67,17725.57
2016-06-07,18423.42,18403.54
2016-06-08,18820.83,18589.41
2016-06-09,18847.92,18717.93
2016-06-10,18745.83,18470.42
2016-06-11,16804.17,16564.62
2016-06-12,15000.0,14796.21
2016-06-13,18016.67,17895.04
2016-06-14,18850.0,18678.4
2016-06-15,18870.83,18967.13
2016-06-16,18937.5,18918.34
2016-06-17,18908.33,18732.75
2016-06-18,16895.83,16622.08
2016-06-19,15004.17,15009.09
2016-06-20,18382.96,18255.38
2016-06-21,19312.5,18688.12
2016-06-22,19400.0,19168.89
2016-06-23,19364.58,19423.29
2016-06-24,19629.17,19576.97
2016-06-25,17258.33,17580.83
2016-06-26,15822.92,15458.72
2016-06-27,19320.83,18409.31
2016-06-28,18999.75,18958.85
2016-06-29,19470.83,19167.53
2016-06-30,19541.67,19489.44
2016-07-01,19537.5,19221.93
2016-07-02,17500.0,17260.93
2016-07-03,15695.83,14894.78
2016-07-04,18768.75,17669.3
2016-07-05,19225.0,18501.89
2016-07-06,18606.25,18072.03
