Data,Godz.,Dobowa prognoza zapotrzebowania KSE,Rzeczywiste zapotrzebowanie KSE
2015-01-27,14,23450.0,23389.05
2015-01-27,12,23252.0,23244.65
2015-01-27,11,22935.0,23050.72
2015-01-27,10,22902.0,22950.35
2015-01-27,9,22682.0,22512.78
2015-01-27,7,20052.0,20171.68
2015-01-27,6,17625.0,17674.53
2015-01-27,5,16715.0,16848.78
2015-01-27,4,16476.0,16540.4
2015-01-27,3,16500.0,16539.0
2015-01-27,2,16538.0,16829.58
2015-01-27,1,17214.0,17273.08
2015-01-27,13,23338.0,23334.8
2015-01-27,8,21840.0,21707.82
2015-01-28,7,20048.0,20217.55
2015-01-28,9,22478.0,22628.4
2015-01-28,1,17389.0,17386.1
2015-01-28,2,16673.0,16863.58
2015-01-28,3,16528.0,16517.32
2015-01-28,4,16545.0,16515.7
2015-01-28,8,21690.0,21762.95
2015-01-28,5,16815.0,16801.42
2015-01-28,6,17715.0,17580.72
2015-01-28,22,21260.0,21161.38
2015-01-28,24,18370.0,18303.32
2015-01-28,23,19600.0,19636.82
2015-01-28,21,22752.0,22901.35
2015-01-28,20,23475.0,23576.05
2015-01-28,19,23554.0,23745.8
2015-01-28,17,23432.0,23381.3
2015-01-28,18,24255.0,23990.78
2015-01-28,15,22963.0,22959.45
2015-01-28,14,23499.0,23292.85
2015-01-28,13,23408.0,23209.3
2015-01-28,12,23375.0,23256.15
2015-01-28,11,23040.0,23006.6
2015-01-28,10,23082.0,23006.95
2015-01-28,16,22619.0,22696.22
2015-01-29,21,22848.0,22705.82
2015-01-29,18,23902.0,23807.82
2015-01-29,19,23568.0,23642.82
2015-01-29,20,23268.0,23419.65
2015-01-29,22,21365.0,21064.25
2015-01-29,8,21462.0,21531.32
2015-01-29,24,18420.0,18118.22
2015-01-29,9,22505.0,22412.18
2015-01-29,7,19775.0,19923.38
2015-01-29,17,23382.0,23012.0
2015-01-29,23,19740.0,19613.8
2015-01-29,16,22595.0,22353.88
2015-01-29,12,22978.0,23196.25
2015-01-29,14,23355.0,23140.9
2015-01-29,13,23178.0,23160.02
2015-01-29,11,22888.0,22973.58
2015-01-29,10,22910.0,22853.02
2015-01-29,6,17428.0,17311.47
2015-01-29,5,16658.0,16524.58
2015-01-29,4,16350.0,16245.75
2015-01-29,3,16328.0,16284.22
2015-01-29,2,16682.0,16684.53
2015-01-29,15,22830.0,22702.22
2015-01-29,1,17502.0,17214.35
2015-01-30,16,22514.0,22558.08
2015-01-30,17,23125.0,23315.72
2015-01-30,18,23840.0,23944.58
2015-01-30,19,23488.0,23625.72
2015-01-30,24,18235.0,18224.62
2015-01-30,22,21070.0,20868.08
2015-01-30,23,19542.0,19523.62
2015-01-30,15,22672.0,22784.2
2015-01-30,21,22552.0,22475.12
2015-01-30,14,23055.0,22959.98
2015-01-30,20,23258.0,23220.92
2015-01-30,12,22808.0,22935.28
2015-01-30,13,22865.0,23031.18
2015-01-30,2,16508.0,16642.28
2015-01-30,3,16325.0,16356.28
2015-01-30,4,16322.0,16371.38
2015-01-30,5,16585.0,16612.05
2015-01-30,1,17128.0,17226.28
2015-01-30,7,19850.0,19978.32
2015-01-30,8,21612.0,21276.35
2015-01-30,9,22262.0,22206.52
2015-01-30,10,22430.0,22589.78
2015-01-30,11,22552.0,22797.28
2015-01-30,6,17452.0,17410.88
2015-01-31,15,19792.0,19708.5
2015-01-31,24,16740.0,16510.1
2015-01-31,23,17858.0,17667.72
2015-01-31,22,18855.0,18854.8
2015-01-31,20,20638.0,20739.3
2015-01-31,19,20955.0,21053.4
2015-01-31,18,21088.0,21196.02
2015-01-31,17,20430.0,20239.9
